wavelength_nm,surface_mirror_PM,surface_mirror_SM,surface_mirror_TM,surface_mirror_FSM,surface_EOL,surface_filter_sloan_r,surface_detector,subsystem_telescope,subsystem_photometric_instrument,instrument_photometer
1260.0,0.9410909090909092,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9142155186013389,0.0,1.0,0.8197198700366514,0.0,0.0
1265.0,0.9410909090909092,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9142270934835021,0.0,1.0,0.8197302485094616,0.0,0.0
1270.0,0.9410909090909092,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9142369726225786,0.0,1.0,0.8197391065155172,0.0,0.0
1275.0,0.9411818181818183,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9142453693086943,0.0,1.0,0.819825822570303,0.0,0.0
1280.0,0.9421818181818183,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9142524716903472,0.0,1.0,0.8207032582010083,0.0,0.0
1285.0,0.9425454545454547,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9142584503591581,0.0,0.9975,0.8210253787317963,0.0,0.0
1290.0,0.9429090909090909,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9142634588432529,0.0,0.995,0.8213466318207211,0.0,0.0
1295.0,0.9429636363636363,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9142676343201332,0.0,0.9924999999999999,0.8213978964628591,0.0,0.0
1300.0,0.9432727272727272,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9142710984986665,0.0,0.99,0.8216702530564259,0.0,0.0
1305.0,0.9436363636363636,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9142739555131447,0.0,0.9875,0.8219895796918864,0.0,0.0
1310.0,0.9438909090909091,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9142763005323117,0.0,0.985,0.822213419872961,0.0,0.0
1315.0,0.9443636363636364,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9142782186273763,0.0,0.9824999999999999,0.8226269334332204,0.0,0.0
1320.0,0.944509090909091,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9142797799553734,0.0,0.98,0.8227550426500783,0.0,0.0
1325.0,0.9447272727272729,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9142810447349184,0.0,0.9775,0.8229462376856416,0.0,0.0
1330.0,0.9450909090909092,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9142820643313325,0.0,0.975,0.8232639172260836,0.0,0.0
1335.0,0.9450909090909092,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9142828822881549,0.0,0.9724999999999999,0.8232646537540809,0.0,0.0
1340.0,0.9454545454545457,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9142835352933047,0.0,0.97,0.8235820040608456,0.0,0.0
1345.0,0.9460545454545456,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9142840536895924,0.0,0.9675,0.8241051291362256,0.0,0.0
1350.0,0.9461818181818182,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9142844627913895,0.0,0.965,0.8242163648076387,0.0,0.0
1355.0,0.946309090909091,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9142847848227449,0.0,0.9624999999999999,0.8243275220747615,0.0,0.0
1360.0,0.9465454545454548,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9142850370876588,0.0,0.96,0.8245336453583322,0.0,0.0
1365.0,0.946909090909091,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9142852337417692,0.0,0.9575,0.8248505856054603,0.0,0.0
1370.0,0.946909090909091,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9142853862987009,0.0,0.955,0.8248507232393953,0.0,0.0
1375.0,0.9472727272727276,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9142855040697451,0.0,0.9524999999999999,0.8251675924815263,0.0,0.0
1380.0,0.9474909090909092,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9142855945424002,0.0,0.95,0.8253577319491843,0.0,0.0
1385.0,0.9484545454545454,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9142856636877714,0.0,0.9475,0.8261972164427811,0.0,0.0
1390.0,0.9483636363636364,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9142857142857144,0.0,0.945,0.8261180713997301,0.0,0.0
1395.0,0.9483636363636364,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9142857142857144,0.0,0.9424999999999999,0.8261180713997301,0.0,0.0
1400.0,0.9487272727272728,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9142857142857144,0.0,0.94,0.8264348344639173,0.0,0.0
1405.0,0.9487272727272728,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9142857142857144,0.0,0.9375,0.8264348344639173,0.0,0.0
1410.0,0.9490909090909091,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9142857142857144,0.0,0.9349999999999999,0.8267515975281041,0.0,0.0
1415.0,0.9494545454545457,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9142857142857144,0.0,0.9325,0.8270683605922914,0.0,0.0
1420.0,0.9496000000000001,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9142857142857144,0.0,0.93,0.8271950658179661,0.0,0.0
1425.0,0.9498181818181819,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9142857142857144,0.0,0.9275,0.8273851236564783,0.0,0.0
1430.0,0.9498545454545455,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9142857142857144,0.0,0.925,0.827416799962897,0.0,0.0
