wavelength_nm,surface_mirror_PM,surface_mirror_SM,surface_mirror_TM,surface_mirror_FSM,surface_filter_sloan_r,surface_detector,subsystem_telescope,subsystem_photometric_instrument,instrument_photometer
935.0,0.9118363636363636,0.982,0.982,0.982,0.0,0.06801483013846286,0.8634781871157817,0.0,0.0
940.0,0.9126545454545457,0.98,0.98,0.98,0.0,0.06596592894153405,0.8589831569454548,0.0,0.0
945.0,0.9135636363636366,0.981,0.981,0.981,0.0,0.062127534820207685,0.8624736323761093,0.0,0.0
950.0,0.9150909090909091,0.981,0.981,0.981,0.0,0.05663572941102709,0.8639154941187271,0.0,0.0
955.0,0.9156363636363636,0.982,0.982,0.982,0.0,0.05157497753262729,0.8670766585541817,0.0,0.0
960.0,0.9160727272727271,0.982,0.982,0.982,0.0,0.047592776616351015,0.8674898801547636,0.0,0.0
965.0,0.9167454545454546,0.982,0.982,0.982,0.0,0.04367110662141845,0.8681269301223274,0.0,0.0
970.0,0.917418181818182,0.982,0.982,0.982,0.0,0.03964818490351113,0.8687639800898911,0.0,0.0
975.0,0.917818181818182,0.982,0.982,0.982,0.0,0.03876993626292473,0.8691427665570911,0.0,0.0
980.0,0.918109090909091,0.981,0.981,0.981,0.0,0.03876993626292473,0.8667648875624727,0.0,0.0
985.0,0.9187090909090908,0.98,0.98,0.98,0.0,0.03529609731277169,0.864681646690909,0.0,0.0
990.0,0.9200727272727273,0.98,0.98,0.98,0.0,0.03019739820851446,0.8659650903272726,0.0,0.0
995.0,0.920109090909091,0.982,0.982,0.982,0.0,0.02509869910425723,0.8713121799601455,0.0,0.0
1000.0,0.9207272727272727,0.983,0.983,0.983,0.0,0.02,0.8745639288305453,0.0,0.0
1005.0,0.9210909090909092,0.981,0.981,0.981,0.0,0.019,0.8695799509647273,0.0,0.0
1010.0,0.9213454545454546,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.0,0.018,0.8778246922053822,0.0,0.0
1015.0,0.922018181818182,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.0,0.017,0.8784656424680731,0.0,0.0
1020.0,0.9223272727272729,0.983,0.983,0.983,0.0,0.016,0.8760837081697455,0.0,0.0
1025.0,0.9221818181818183,0.982,0.982,0.982,0.0,0.015,0.873274982562909,0.0,0.0
1030.0,0.9236363636363636,0.982,0.982,0.982,0.0,0.014,0.8746523878981817,0.0,0.0
1035.0,0.9239818181818182,0.983,0.983,0.983,0.0,0.013,0.8776552981682363,0.0,0.0
1040.0,0.924290909090909,0.983,0.983,0.983,0.0,0.012,0.8779488919042181,0.0,0.0
1045.0,0.9249636363636364,0.983,0.983,0.983,0.0,0.011,0.8785878900354728,0.0,0.0
1050.0,0.9252727272727275,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.0,0.01,0.8815664559010914,0.0,0.0
1055.0,0.9258181818181821,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.0,0.009,0.8820861453032733,0.0,0.0
1060.0,0.9262545454545456,0.983,0.983,0.983,0.0,0.008,0.879814075638691,0.0,0.0
1065.0,0.926909090909091,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.0,0.007,0.8831255241076368,0.0,0.0
1070.0,0.9272363636363636,0.983,0.983,0.983,0.0,0.006,0.8807466675059272,0.0,0.0
1075.0,0.9276363636363637,0.983,0.983,0.983,0.0,0.005,0.8811266123407273,0.0,0.0
1080.0,0.9277090909090908,0.983,0.983,0.983,0.0,0.004,0.8811956932197816,0.0,0.0
1085.0,0.9283636363636364,0.982,0.982,0.982,0.0,0.003,0.8791289552378183,0.0,0.0
1090.0,0.9288363636363637,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.0,0.002,0.8849617599953458,0.0,0.0
1095.0,0.9291454545454546,0.983,0.983,0.983,0.0,0.0009999999999999998,0.8825600405811092,0.0,0.0
1100.0,0.9298181818181819,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.0,0.0,0.8858972009192729,0.0,0.0
1105.0,0.9298181818181819,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.0,0.0,0.8858972009192729,0.0,0.0
1110.0,0.9304363636363637,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.0,0.0,0.8864861822417458,0.0,0.0
1115.0,0.9307454545454548,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.0,0.0,0.8867806729029823,0.0,0.0
1120.0,0.9312727272727273,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.0,0.0,0.8872830393250911,0.0,0.0
1125.0,0.9317272727272727,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.0,0.0,0.8877161138269094,0.0,0.0
1130.0,0.932,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.0,0.0,0.8879759585280003,0.0,0.0
1135.0,0.9323454545454546,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.0,0.0,0.888305095149382,0.0,0.0
1140.0,0.9326545454545456,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.0,0.0,0.8885995858106186,0.0,0.0
1145.0,0.9330909090909093,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.0,0.0,0.889015337332364,0.0,0.0
1150.0,0.9336363636363638,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.0,0.0,0.8895350267345459,0.0,0.0
1155.0,0.9339454545454546,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.0,0.0,0.8898295173957821,0.0,0.0
1160.0,0.9345454545454548,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.0,0.0,0.8904011757381822,0.0,0.0
1165.0,0.9345636363636366,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.0,0.0,0.8904184987182551,0.0,0.0
1170.0,0.934909090909091,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.0,0.0,0.8907476353396367,0.0,0.0
1175.0,0.9352727272727271,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.0,0.0,0.891094094941091,0.0,0.0
1180.0,0.9356363636363636,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.0,0.0,0.8914405545425456,0.0,0.0
1185.0,0.9359999999999999,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.0,0.0,0.8917870141440003,0.0,0.0
1190.0,0.9380727272727275,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.0,0.0,0.8937618338722914,0.0,0.0
1195.0,0.9367272727272729,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.0,0.0,0.8924799333469094,0.0,0.0
1200.0,0.9370909090909092,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.0,0.0,0.8928263929483641,0.0,0.0
1205.0,0.9374000000000001,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.0,0.0,0.8931208836096004,0.0,0.0
1210.0,0.937818181818182,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.0,0.0,0.8935193121512731,0.0,0.0
1215.0,0.938018181818182,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.0,0.0,0.8937098649320732,0.0,0.0
1220.0,0.9383272727272729,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.0,0.0,0.8940043555933096,0.0,0.0
