wavelength_nm,surface_mirror_PM,surface_mirror_SM,surface_mirror_TM,surface_mirror_FSM,surface_EOL,surface_filter_Kepler,surface_detector,subsystem_telescope,subsystem_photometric_instrument,instrument_photometer
970.0,0.917418181818182,0.982,0.982,0.982,0.909270324910367,0.0,0.03964818490351113,0.7899413064467589,0.0,0.0
975.0,0.917818181818182,0.982,0.982,0.982,0.9093004716284158,0.0,0.03876993626292473,0.790311927542789,0.0,0.0
980.0,0.918109090909091,0.981,0.981,0.981,0.9093343168431292,0.0,0.03876993626292473,0.7881790568952328,0.0,0.0
985.0,0.9187090909090908,0.98,0.98,0.98,0.9093721609265084,0.0,0.03529609731277169,0.7863174175648036,0.0,0.0
990.0,0.9200727272727273,0.98,0.98,0.98,0.9094143026705349,0.0,0.03019739820851446,0.7875210387570034,0.0,0.0
995.0,0.920109090909091,0.982,0.982,0.982,0.9094609098065004,0.0,0.02509869910425723,0.7924243679120392,0.0,0.0
1000.0,0.9207272727272727,0.983,0.983,0.983,0.9095124981390884,0.0,0.02,0.7954268236930052,0.0,0.0
1005.0,0.9210909090909092,0.981,0.981,0.981,0.909569326513961,0.0,0.019,0.7909432503490302,0.0,0.0
1010.0,0.9213454545454546,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9096316275453386,0.0,0.018,0.7984971034702677,0.0,0.0
1015.0,0.922018181818182,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9096996015566439,0.0,0.017,0.7991398449344073,0.0,0.0
1020.0,0.9223272727272729,0.983,0.983,0.983,0.9097734794186889,0.0,0.016,0.7970377234436166,0.0,0.0
1025.0,0.9221818181818183,0.982,0.982,0.982,0.9098533176246334,0.0,0.015,0.7945521400834566,0.0,0.0
1030.0,0.9236363636363636,0.982,0.982,0.982,0.9099391771292665,0.0,0.014,0.7958804741182195,0.0,0.0
1035.0,0.9239818181818182,0.983,0.983,0.983,0.9100310699660642,0.0,0.013,0.7986935900534252,0.0,0.0
1040.0,0.924290909090909,0.983,0.983,0.983,0.9101289494956278,0.0,0.012,0.7990467026996365,0.0,0.0
1045.0,0.9249636363636364,0.983,0.983,0.983,0.9102327071431892,0.0,0.011,0.7997194336102109,0.0,0.0
1050.0,0.9252727272727275,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9103421701359716,0.0,0.01,0.8025271205840768,0.0,0.0
1055.0,0.9258181818181821,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9104571003575627,0.0,0.009,0.803101594118398,0.0,0.0
1060.0,0.9262545454545456,0.983,0.983,0.983,0.9105772376288807,0.0,0.008,0.8011386706220863,0.0,0.0
1065.0,0.926909090909091,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9107021795023661,0.0,0.007,0.8042643395789941,0.0,0.0
1070.0,0.9272363636363636,0.983,0.983,0.983,0.9108314770589763,0.0,0.006,0.8022117880791948,0.0,0.0
1075.0,0.9276363636363637,0.983,0.983,0.983,0.9109646424434222,0.0,0.005,0.8026751893583546,0.0,0.0
1080.0,0.9277090909090908,0.983,0.983,0.983,0.9111011358612684,0.0,0.004,0.8028583970086008,0.0,0.0
1085.0,0.9283636363636364,0.982,0.982,0.982,0.9112403719613594,0.0,0.003,0.8010977961729109,0.0,0.0
1090.0,0.9288363636363637,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9113817272502522,0.0,0.002,0.8065379773749813,0.0,0.0
1095.0,0.9291454545454546,0.983,0.983,0.983,0.9115245483847274,0.0,0.0009999999999999998,0.8044751424131023,0.0,0.0
1100.0,0.9298181818181819,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9116681618709901,0.0,0.0,0.8076442727687287,0.0,0.0
1105.0,0.9298181818181819,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9118118695245007,0.0,0.0,0.8077715829767245,0.0,0.0
1110.0,0.9304363636363637,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9119549796389688,0.0,0.0,0.8084354882764985,0.0,0.0
1115.0,0.9307454545454548,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9120968138153844,0.0,0.0,0.8088298263078728,0.0,0.0
1120.0,0.9312727272727273,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9122367118305496,0.0,0.0,0.8094121622569374,0.0,0.0
1125.0,0.9317272727272727,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9123740407889332,0.0,0.0,0.809929137845706,0.0,0.0
1130.0,0.932,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9125082036358889,0.0,0.0,0.8102853467882422,0.0,0.0
1135.0,0.9323454545454546,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9126386468429831,0.0,0.0,0.8107015600208594,0.0,0.0
1140.0,0.9326545454545456,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9127648490861274,0.0,0.0,0.8110824668404246,0.0,0.0
1145.0,0.9330909090909093,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9128863342025231,0.0,0.0,0.8115699523471612,0.0,0.0
1150.0,0.9336363636363638,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9130027538213427,0.0,0.0,0.8121479290291821,0.0,0.0
1155.0,0.9339454545454546,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9131137860824956,0.0,0.0,0.8125155995972224,0.0,0.0
1160.0,0.9345454545454548,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9132191741504682,0.0,0.0,0.8131314263702286,0.0,0.0
1165.0,0.9345636363636366,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.913318726639618,0.0,0.0,0.813235889425717,0.0,0.0
