wavelength_nm,surface_mirror_PM,surface_mirror_SM,surface_mirror_TM,surface_mirror_FSM,surface_EOL,surface_filter_Kepler,surface_detector,subsystem_telescope,subsystem_photometric_instrument,instrument_photometer
795.0,0.8702363636363636,0.985,0.985,0.985,0.9065664752208934,0.9758311288810536,0.465234068627451,0.7539552558874049,0.45398988638265103,0.3422880609579255
800.0,0.8701818181818182,0.985,0.985,0.985,0.9068646620091337,0.9800139747023963,0.45975485188968335,0.7541559733444528,0.45056617978912006,0.33979717587495556
805.0,0.8684181818181819,0.985,0.985,0.985,0.9071356143144476,0.9841859055729414,0.4553186274509804,0.752852361189416,0.44811817568207185,0.33736682665414136
810.0,0.8681090909090909,0.985,0.985,0.985,0.9073806382419304,0.9856688462196982,0.45054136874361594,0.7527876814554365,0.4440845911037635,0.3343014097070877
815.0,0.868,0.985,0.985,0.985,0.9076009113548026,0.987151786866455,0.44329575163398693,0.7528758040155429,0.4376001933357984,0.32945859739504624
820.0,0.868,0.985,0.985,0.985,0.90779822225902,0.9839649020823138,0.4358590398365679,0.7530394779429214,0.4288699974544798,0.3229560389885035
825.0,0.867909090909091,0.985,0.985,0.985,0.9079741281922511,0.9780073589504322,0.4271985294117647,0.7531065118542251,0.41780330549750855,0.3146503900443938
830.0,0.8676363636363637,0.985,0.985,0.985,0.9081302109042556,0.9720381443683875,0.41956016343207353,0.7529992795048654,0.40782848271341016,0.30709455364476035
835.0,0.8676363636363637,0.985,0.985,0.985,0.9082680544897223,0.9660527102591785,0.41400796568627446,0.7531135760223631,0.3999535173201144,0.3012104236716735
840.0,0.8676363636363637,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.908389224427316,0.9627092831104787,0.4078474213567301,0.7509223224244103,0.39263849863279493,0.294841013266572
845.0,0.8686181818181818,0.9840000000000001,0.9840000000000001,0.9840000000000001,0.9084952495111577,0.9693468788855315,0.39485108225108223,0.7518598119721813,0.38274766420466083,0.28777258684170787
850.0,0.871090909090909,0.983,0.983,0.983,0.9085876067535225,0.9759844746605844,0.3855879805089334,0.7517801311833043,0.376327882592447,0.28291582494328493
855.0,0.8734363636363636,0.982,0.982,0.982,0.9086676074773428,0.9741437984472298,0.3820781184376313,0.7515723230774105,0.3721990295984047,0.2797344893224309
