wavelength_nm,surface_mirror_PM,surface_mirror_SM,surface_mirror_TM,surface_mirror_FSM,surface_filter_sloan_u,surface_detector,subsystem_telescope,subsystem_photometric_instrument,instrument_photometer
665.0,0.9032181818181817,0.9760267987819919,0.9760267987819919,0.9760267987819919,0.0,0.5205306735937836,0.83980392128337,0.0,0.0
670.0,0.8998909090909091,0.9754055637555233,0.9754055637555233,0.9754055637555233,0.0,0.503152854281445,0.8351135878198261,0.0,0.0
675.0,0.8992727272727271,0.9748594785304707,0.9748594785304707,0.9748594785304707,0.0,0.48905579159782425,0.8331390266471154,0.0,0.0
680.0,0.8972363636363637,0.9751442940568555,0.9751442940568555,0.9751442940568555,0.0,0.47677902018712076,0.8319812103642381,0.0,0.0
685.0,0.8961636363636363,0.9754291095832404,0.9754291095832404,0.9754291095832404,0.0,0.4642747992537928,0.8317148460263954,0.0,0.0
690.0,0.8937818181818183,0.9757139251096252,0.9757139251096252,0.9757139251096252,0.0,0.4477205094014695,0.8302311524778367,0.0,0.0
695.0,0.8929818181818182,0.9756887408773509,0.9756887408773509,0.9756887408773509,0.0,0.43969808670172844,0.8294238066711314,0.0,0.0
700.0,0.8909090909090908,0.9754911942820265,0.9754911942820265,0.9754911942820265,0.0,0.4277346858981729,0.8269960794736491,0.0,0.0
705.0,0.8884727272727273,0.975293647686702,0.975293647686702,0.975293647686702,0.0,0.4182162709222885,0.8242335491900866,0.0,0.0
710.0,0.886109090909091,0.9750961010913777,0.9750961010913777,0.9750961010913777,0.0,0.3998607275924054,0.8215413965317396,0.0,0.0
715.0,0.8857454545454545,0.9749391129351795,0.9749391129351795,0.9749391129351795,0.0,0.3862834585079851,0.8208076851374578,0.0,0.0
720.0,0.8856727272727273,0.9749287618601948,0.9749287618601948,0.9749287618601948,0.0,0.3683332889240707,0.8207141483194417,0.0,0.0
725.0,0.8843636363636364,0.97491841078521,0.97491841078521,0.97491841078521,0.0,0.35967823603682475,0.8194749687782253,0.0,0.0
730.0,0.8834181818181818,0.9749080597102253,0.9749080597102253,0.9749080597102253,0.0,0.3509763802936501,0.8185728115024568,0.0,0.0
735.0,0.8831818181818182,0.9746614568080343,0.9746614568080343,0.9746614568080343,0.0,0.341431880062667,0.8177329471410936,0.0,0.0
740.0,0.8812363636363637,0.9741882349355004,0.9741882349355004,0.9741882349355004,0.0,0.32388158141368906,0.8147437748676135,0.0,0.0
745.0,0.8803636363636363,0.9737150130629666,0.9737150130629666,0.9737150130629666,0.0,0.31487347975554425,0.8127513397714231,0.0,0.0
750.0,0.8785454545454545,0.9732417911904327,0.9732417911904327,0.9732417911904327,0.0,0.3075088843253973,0.809890834614497,0.0,0.0
755.0,0.8776909090909091,0.9728350908958434,0.9728350908958434,0.9728350908958434,0.0,0.30019887291905845,0.8080891630962784,0.0,0.0
760.0,0.8773090909090908,0.9724725418805957,0.9724725418805957,0.9724725418805957,0.0,0.2857211508688381,0.8068348948530516,0.0,0.0
765.0,0.8755454545454545,0.9721099928653479,0.9721099928653479,0.9721099928653479,0.0,0.27563660283243757,0.8043126889242014,0.0,0.0
770.0,0.8741454545454544,0.9717474438501001,0.9717474438501001,0.9717474438501001,0.0,0.26505653148970093,0.8021284576169672,0.0,0.0
775.0,0.8726363636363637,0.9716013610207643,0.9716013610207643,0.9716013610207643,0.0,0.2592675742848333,0.8003826208641956,0.0,0.0
780.0,0.8722909090909091,0.9715517490502568,0.9715517490502568,0.9715517490502568,0.0,0.2537574261722153,0.7999432169684234,0.0,0.0
785.0,0.8708545454545454,0.9715021370797492,0.9715021370797492,0.9715021370797492,0.0,0.24745182258989493,0.7985036466688816,0.0,0.0
790.0,0.8701818181818182,0.9714525251092416,0.9714525251092416,0.9714525251092416,0.0,0.23890045424734332,0.7977645783298462,0.0,0.0
795.0,0.8702363636363636,0.9714365968704717,0.9714365968704717,0.9714365968704717,0.0,0.23088407498568178,0.7977753414599532,0.0,0.0
800.0,0.8701818181818182,0.9714300375955247,0.9714300375955247,0.9714300375955247,0.0,0.22012424514925788,0.7977091788342588,0.0,0.0
805.0,0.8684181818181819,0.9714234783205778,0.9714234783205778,0.9714234783205778,0.0,0.21417020361345282,0.7960763000260948,0.0,0.0
810.0,0.8681090909090909,0.9714169190456309,0.9714169190456309,0.9714169190456309,0.0,0.21022652237439532,0.7957768373090789,0.0,0.0
815.0,0.868,0.9708862689439086,0.9708862689439086,0.9708862689439086,0.0,0.2076531183145529,0.7943735993439225,0.0,0.0
820.0,0.868,0.9703511301908565,0.9703511301908565,0.9703511301908565,0.0,0.20318558877342996,0.7930607808040984,0.0,0.0
825.0,0.867909090909091,0.9698159914378044,0.9698159914378044,0.9698159914378044,0.0,0.1887123655125789,0.791666486414664,0.0,0.0
830.0,0.8676363636363637,0.9692935333621134,0.9692935333621134,0.9692935333621134,0.0,0.17148673271444442,0.7901393514196728,0.0,0.0
835.0,0.8676363636363637,0.9691763591402242,0.9691763591402242,0.9691763591402242,0.0,0.17097313701819497,0.7898528352029842,0.0,0.0
840.0,0.8676363636363637,0.9690591849183349,0.9690591849183349,0.9690591849183349,0.0,0.1809295564440573,0.7895663882580146,0.0,0.0
845.0,0.8686181818181818,0.9689420106964456,0.9689420106964456,0.9689420106964456,0.0,0.17987707142892378,0.7901731606302682,0.0,0.0
850.0,0.871090909090909,0.9687455835705934,0.9687455835705934,0.9687455835705934,0.0,0.16713603654016387,0.7919407457039227,0.0,0.0
855.0,0.8734363636363636,0.9681850368591242,0.9681850368591242,0.9681850368591242,0.0,0.15230026491884377,0.7926954549375124,0.0,0.0
860.0,0.8749818181818181,0.9676244901476548,0.9676244901476548,0.9676244901476548,0.0,0.13896878806048552,0.7927195767390248,0.0,0.0
865.0,0.8779090909090908,0.9670639434361856,0.9670639434361856,0.9670639434361856,0.0,0.1350141011993655,0.7939901588417196,0.0,0.0
870.0,0.8799636363636364,0.9667046094569868,0.9667046094569868,0.9667046094569868,0.0,0.13830111365536132,0.7949614957429256,0.0,0.0
